x1,y1,x2,y2,x3,y3,x4,y4
211.43231,1213.0,208.75098,1051.0607,67.14214,1050.6713,67.0,1213.0
355.15952,1213.0,349.68195,1051.4482,208.75098,1051.0607,211.43231,1213.0
498.1867,1213.0,489.9399,1051.834,349.68195,1051.4482,355.15952,1213.0
640.51904,1213.0,629.52966,1052.2179,489.9399,1051.834,498.1867,1213.0
782.16156,1213.0,768.45605,1052.6,629.52966,1052.2179,640.51904,1213.0
923.11926,1213.0,906.7237,1052.9802,768.45605,1052.6,782.16156,1213.0
1063.3971,1213.0,1044.3373,1053.3588,906.7237,1052.9802,923.11926,1213.0
1203.0,1213.0,1181.3014,1053.7354,1044.3373,1053.3588,1063.3971,1213.0
208.75098,1051.0607,206.17245,895.3307,67.278824,894.58136,67.14214,1050.6713
349.68195,1051.4482,344.41394,896.0765,206.17245,895.3307,208.75098,1051.0607
489.9399,1051.834,482.00784,896.8187,344.41394,896.0765,349.68195,1051.4482
629.52966,1052.2179,618.95874,897.55756,482.00784,896.8187,489.9399,1051.834
768.45605,1052.6,755.2711,898.2929,618.95874,897.55756,629.52966,1052.2179
906.7237,1052.9802,890.9494,899.02484,755.2711,898.2929,768.45605,1052.6
1044.3373,1053.3588,1025.998,899.7534,890.9494,899.02484,906.7237,1052.9802
1181.3014,1053.7354,1160.4214,900.4786,1025.998,899.7534,1044.3373,1053.3588
206.17245,895.3307,203.69093,745.4596,67.410355,744.37756,67.278824,894.58136
344.41394,896.0765,339.34366,746.5366,203.69093,745.4596,206.17245,895.3307
482.00784,896.8187,474.37283,747.60864,339.34366,746.5366,344.41394,896.0765
618.95874,897.55756,608.7828,748.6758,474.37283,747.60864,482.00784,896.8187
755.2711,898.2929,742.5777,749.7381,608.7828,748.6758,618.95874,897.55756
890.9494,899.02484,875.76184,750.7955,742.5777,749.7381,755.2711,898.2929
1025.998,899.7534,1008.33936,751.8481,875.76184,750.7955,890.9494,899.02484
1160.4214,900.4786,1140.3145,752.89594,1008.33936,751.8481,1025.998,899.7534
203.69093,745.4596,201.30106,601.1228,67.53701,599.733,67.410355,744.37756
339.34366,746.5366,334.46017,602.50635,201.30106,601.1228,203.69093,745.4596
474.37283,747.60864,467.0185,603.88367,334.46017,602.50635,339.34366,746.5366
608.7828,748.6758,598.98004,605.25476,467.0185,603.88367,474.37283,747.60864
742.5777,749.7381,730.3488,606.61975,598.98004,605.25476,608.7828,748.6758
875.76184,750.7955,861.1288,607.9785,730.3488,606.61975,742.5777,749.7381
1008.33936,751.8481,991.32404,609.3313,861.1288,607.9785,875.76184,750.7955
1140.3145,752.89594,1120.9384,610.678,991.32404,609.3313,1008.33936,751.8481
201.30106,601.1228,198.99783,462.01947,67.659065,460.34467,67.53701,599.733
334.46017,602.50635,329.7534,463.68683,198.99783,462.01947,201.30106,601.1228
467.0185,603.88367,459.9296,465.3468,329.7534,463.68683,334.46017,602.50635
598.98004,605.25476,589.53033,466.99942,459.9296,465.3468,467.0185,603.88367
730.3488,606.61975,718.5594,468.64478,589.53033,466.99942,598.98004,605.25476
861.1288,607.9785,847.0205,470.28287,718.5594,468.64478,730.3488,606.61975
991.32404,609.3313,974.9175,471.9138,847.0205,470.28287,861.1288,607.9785
1120.9384,610.678,1102.254,473.53754,974.9175,471.9138,991.32404,609.3313
198.99783,462.01947,196.77663,327.8699,67.77677,325.93115,67.659065,460.34467
329.7534,463.68683,325.21384,329.80017,196.77663,327.8699,198.99783,462.01947
459.9296,465.3468,453.09207,331.72208,325.21384,329.80017,329.7534,463.68683
589.53033,466.99942,580.415,333.63562,453.09207,331.72208,459.9296,465.3468
718.5594,468.64478,707.18616,335.54086,580.415,333.63562,589.53033,466.99942
847.0205,470.28287,833.40924,337.43787,707.18616,335.54086,718.5594,468.64478
974.9175,471.9138,959.0877,339.32672,833.40924,337.43787,847.0205,470.28287
1102.254,473.53754,1084.2251,341.2074,959.0877,339.32672,974.9175,471.9138
196.77663,327.8699,194.63315,198.41414,67.89034,196.2308,67.77677,325.93115
325.21384,329.80017,320.8328,200.58812,194.63315,198.41414,196.77663,327.8699
453.09207,331.72208,446.49277,202.7528,320.8328,200.58812,325.21384,329.80017
580.415,333.63562,571.6166,204.90825,446.49277,202.7528,453.09207,331.72208
707.18616,335.54086,696.2075,207.05452,571.6166,204.90825,580.415,333.63562
833.40924,337.43787,820.2691,209.19167,696.2075,207.05452,707.18616,335.54086
959.0877,339.32672,943.8047,211.31976,820.2691,209.19167,833.40924,337.43787
1084.2251,341.2074,1066.8176,213.43884,943.8047,211.31976,959.0877,339.32672
194.63315,198.41414,192.56337,73.41009,68.0,71.0,67.89034,196.2308
320.8328,200.58812,316.60208,75.81002,192.56337,73.41009,194.63315,198.41414
446.49277,202.7528,440.11945,78.19987,316.60208,75.81002,320.8328,200.58812
571.6166,204.90825,563.1188,80.57969,440.11945,78.19987,446.49277,202.7528
696.2075,207.05452,685.6033,82.949554,563.1188,80.57969,571.6166,204.90825
820.2691,209.19167,807.5762,85.30952,685.6033,82.949554,696.2075,207.05452
943.8047,211.31976,929.0407,87.659645,807.5762,85.30952,820.2691,209.19167
1066.8176,213.43884,1050.0,90.0,929.0407,87.659645,943.8047,211.31976
